scaleQ,rmse_x,rmse_y,rmse_z
2,0.0705485,0.095729,0.207308
2.1,0.0704894,0.0956968,0.206601
2.2,0.0704585,0.0956604,0.205964
2.3,0.0704291,0.0956248,0.205342
2.4,0.0704009,0.0955905,0.204733
2.5,0.0703738,0.095557,0.204137
2.6,0.0703477,0.0955237,0.203554
2.7,0.0703228,0.095492,0.202983
2.8,0.0702986,0.095461,0.202424
2.9,0.0702754,0.0954306,0.201876
3,0.0702534,0.0954007,0.201339
3.1,0.0702319,0.095372,0.200812
3.2,0.0702113,0.0953435,0.200296
3.3,0.0701916,0.0953159,0.199791
3.4,0.0701724,0.0952892,0.199294
3.5,0.0701542,0.0952628,0.198807
3.6,0.0701367,0.0952371,0.198329
3.7,0.0701198,0.0952118,0.19786
3.8,0.0701033,0.0951873,0.1974
3.9,0.0700875,0.0951633,0.196947
4,0.0700725,0.0951397,0.196502
4.1,0.0700578,0.0951165,0.196065
4.2,0.0700437,0.0950943,0.195637
4.3,0.07003,0.095072,0.195215
4.4,0.0700169,0.0950505,0.194799
4.5,0.0700044,0.0950292,0.194392
4.6,0.0699923,0.0950086,0.193991
4.7,0.0699805,0.0949881,0.193596
4.8,0.0699693,0.0949684,0.193208
4.9,0.0699585,0.094949,0.192826
5,0.069948,0.0949299,0.19245
5.1,0.0699379,0.0949112,0.19208
5.2,0.0699282,0.0948926,0.191717
5.3,0.0699187,0.0948746,0.191357
5.4,0.0699097,0.094857,0.191004
5.5,0.0699011,0.0948395,0.190656
5.6,0.0698926,0.0948223,0.190314
5.7,0.0698847,0.0948059,0.189976
5.8,0.0698768,0.0947895,0.189643
5.9,0.0698692,0.0947734,0.189316
6,0.0698622,0.0947575,0.188992
6.1,0.069855,0.0947422,0.188674
6.2,0.0698483,0.0947267,0.18836
6.3,0.0698419,0.0947118,0.18805
6.4,0.0698359,0.0946971,0.187745
6.5,0.0698299,0.0946825,0.187443
6.6,0.0698241,0.0946683,0.187146
6.7,0.0698185,0.0946545,0.186853
6.8,0.0698131,0.0946406,0.186564
6.9,0.0698081,0.0946272,0.186279
7,0.069803,0.0946138,0.185997
7.1,0.0697984,0.0946004,0.185719
7.2,0.0697939,0.0945878,0.185444
7.29999,0.0697895,0.0945751,0.185174
7.39999,0.0697853,0.0945627,0.184907
7.49999,0.0697813,0.0945504,0.184642
7.59999,0.0697773,0.0945384,0.184382
7.69999,0.0697738,0.0945265,0.184124
7.79999,0.0697702,0.0945148,0.18387
7.89999,0.0697667,0.0945033,0.183618
7.99999,0.0697634,0.0944918,0.183371
8.09999,0.0697603,0.0944807,0.183126
8.2,0.0697573,0.0944695,0.182883
8.3,0.0697544,0.0944588,0.182644
8.4,0.0697518,0.0944482,0.182408
8.5,0.0697492,0.0944378,0.182174
8.6,0.0697466,0.0944274,0.181943
8.7,0.0697443,0.0944168,0.181715
8.8,0.069742,0.0944068,0.181489
8.9,0.06974,0.0943971,0.181265
9,0.0697378,0.0943873,0.181045
9.1,0.0697359,0.0943778,0.180827
9.2,0.0697342,0.0943682,0.180611
9.3,0.0697323,0.0943588,0.180398
9.4,0.0697307,0.0943494,0.180186
9.5,0.0697292,0.0943405,0.179977
9.6,0.0697277,0.0943315,0.179771
9.7,0.0697263,0.0943227,0.179567
9.8,0.0697249,0.094314,0.179365
9.9,0.0697239,0.0943053,0.179164
10,0.0697227,0.0942966,0.178967
